Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#297	3946_2_1	-25.14	125900017189.93105	384854856593.53375	5126.193527572263	0.5686849167085798	14679000000.0	27053000000.0	10989209870.005533	27053000000.0	18.9695689441897	0.3963348516173597
Cell#396	3952_2_2_2_3	-31.02	94545002426.0045	304466172624.33746	2845.1818441222413	0.564178376843074	5857000000.0	11142999999.999998	4040099224.7255173	11142999999.999998	3.3036334597463797	0.44988746887296194
Cell#779	3950_3_1_1_0_0_0	-11.23	128910673393.05293	364792363485.17303	5010.424112026189	0.5490961103584008	33024000000.0	73158000000.0	29315610472.933804	73158000000.0	172.39083748591275	0.4478763676138886
Cell#423	3951_1_3_2_2_2	-49.83	94091871815.40817	444845536420.02435	4280.84248831245	0.6953645013197216	8048000000.0	18825000000.0	4038077966.5907073	18825000000.0	7.572287175717282	0.6814575978703045
Cell#925	3950_3_1_2_2_3_3	-22.61	91672436032.84456	308044035274.5942	2783.161644331499	0.5754802759753648	33311999999.999996	77549000000.0	25780443297.547787	77549000000.0	156.825425076212	0.48575564454602344
Cell#557	3948_2_0_1	-25.07	138950401572.77713	363754500148.76025	5887.0257954332	0.5521895241142306	18888000000.0	29006999999.999996	14152033674.74347	29006999999.999992	24.66718305910454	0.35094650772080355
Cell#60	3951_2_2_3_3_3	-13.02	116431610076.4751	445720585136.38477	5464.9278247282155	0.6349233691918776	23355000000.0	45065000000.0	20315096493.389595	45065000000.0	30.035176398017537	0.2697715852442379
Cell#598	3948_1_2_0_1	-38.03	103717491891.12932	388177529847.4206	4013.996632838443	0.6108526972387668	11821000000.0	26155000000.0	7325739164.811381	26155000000.0	17.558523666715896	0.571995414540328
Cell#359	3950_2_0_0_3_3_1	-17.17	121565140612.89375	382808001260.9108	4337.72607476276	0.5417787973041343	15968000000.0	33676000000.000004	13226040648.277637	33676000000.000004	25.99532061161434	0.3854941003698452
Cell#831	3945_0_1_1_1	-17.58	82355443285.98746	443911925273.01196	2394.9729199249723	0.5942346806273989	41583000000.0	55861000000.00001	34270841252.90136	55861000000.00001	17.201144641467632	0.12101909715453846
Cell#115	3950_3_3_0_3_2	-21.73	110110101829.11081	424930760797.6905	4298.191370532812	0.5954094314065294	16579000000.0	30066000000.0	12975738125.331242	30066000000.0	13.110035480797388	0.2790421833953611
Cell#755	3950_2_0_0_3_1	-17.09	196487899718.3902	517621383953.4525	10906.927955331592	0.5315148610016001	10654000000.000002	20898000000.000004	8833144810.997988	20898000000.000004	15.280887944838936	0.4425465354815442
Cell#775	3950_1_3_1_0_2	-21.65	145832164544.4677	457620210489.31573	6527.306838004601	0.5540050102550855	32662000000.0	48201000000.0	25590783881.746914	48201000000.0	34.82938390017223	0.23061593197202726
Cell#444	3959_2_0	-1.62	151950456380.4965	384420132534.84937	7066.749319528307	0.5532326897660321	1850000000.0	4934000000.0	1820087432.3431015	4934000000.0	1.2591270554826983	0.6165134093711278
Cell#321	3964_3_2_1	-62.37	35222407223.97568	273071850243.81152	1087.2723883867197	0.9361601399653902	30695000000.0	68504999999.99999	11551768222.970398	68504999999.99999	60.822486519319725	0.6751241117069867
Cell#591	3951_2_3_3_0	-25.51	152417845795.8655	415312111324.5157	8093.412842618628	0.590241889119599	23508000000.000004	40332000000.0	17512300219.677444	40332000000.0	59.56605039698128	0.44071335217263413
